name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
KC,-5.0,7.0,-2.3,0.6,-2.2
CHI,-9.1,4.0,-4.6,7.2,2.7
STL,-9.9,4.0,-13.4,-4.3,-0.8
DET,-12.1,5.0,-6.3,7.9,2.1
CAR,-13.1,4.0,-7.7,6.2,0.8
SD,-14.5,5.0,-25.4,-15.9,-5.1
NO,-16.0,6.0,-23.3,-4.4,2.9
ARI,-17.1,9.0,-6.1,9.3,-1.8
IND,-17.2,3.0,-0.5,15.3,-1.5
OAK,-18.3,8.0,-24.2,-15.2,-9.3
WAS,-20.6,6.0,-0.3,15.3,-5.0
CIN,-27.5,3.0,-3.6,19.4,-4.5
PHI,-34.6,3.0,-23.1,8.5,-3.0
STL,34.0,13.0,17.7,-13.5,2.8
JAC,27.1,14.0,11.4,-9.4,6.4
OAK,21.2,8.0,20.5,-5.6,-4.9
KC,17.6,9.0,14.0,-7.5,-4.0
TEN,15.9,13.0,17.9,4.2,2.2
BUF,14.9,11.0,12.7,-4.9,-2.7
WAS,12.8,10.0,22.4,7.1,-2.4
TB,12.3,11.0,-10.2,-19.4,3.0
DAL,11.4,8.0,5.0,-4.6,1.8
MIN,10.5,10.0,11.7,6.0,4.8
BAL,9.1,8.0,-13.6,-20.8,1.9
DEN,8.6,6.0,3.4,-6.9,-1.6
SEA,8.6,9.0,-3.0,-8.1,3.5
NYJ,8.2,8.0,3.8,-3.0,1.4
GB,7.1,8.0,7.9,-0.2,-1.0
MIA,6.7,9.0,-6.9,-9.4,4.2
IND,4.0,13.0,14.2,9.1,-1.1
DET,3.0,8.0,-0.6,-0.4,3.1
CAR,1.5,8.0,10.3,16.0,7.2
PIT,1.4,6.0,-5.0,-2.4,4.0
NE,-3.5,8.0,-7.5,-2.4,1.6
NYG,-9.1,7.0,-6.8,1.3,-1.1
SD,-9.4,8.0,-18.5,-8.2,0.8
PHI,-11.0,5.0,-22.9,-11.1,0.9
CHI,-11.9,6.0,-3.9,4.9,-3.1
ATL,-19.2,5.0,-10.5,9.4,0.7
ARI,-28.1,6.0,-22.9,5.0,-0.1
SF,-29.5,4.0,-1.7,20.4,-7.3
CIN,-32.7,4.0,-9.7,16.6,-6.4
CLE,-39.7,2.0,-10.8,22.2,-6.7
NO,-40.3,3.0,-24.3,8.8,-7.1
TEN,33.3,13.0,0.9,-25.0,7.4
MIA,25.1,11.0,-1.2,-17.4,8.8
BAL,24.1,12.0,-8.1,-23.8,8.4
PIT,22.6,9.0,7.9,-11.8,3.0
OAK,20.8,12.0,17.3,-1.8,1.7
TB,20.0,10.0,4.7,-13.6,1.7
IND,19.9,10.0,26.4,5.7,-0.8
PHI,16.3,11.0,0.9,-8.2,7.2
DEN,16.0,11.0,19.6,-1.1,-4.6
STL,11.2,10.0,26.7,14.9,-0.6
NYG,9.3,12.0,8.9,-5.8,-5.4
NYJ,8.8,9.0,-0.1,-14.1,-5.2
GB,7.8,9.0,3.7,-0.2,3.9
WAS,4.8,8.0,3.8,-8.4,-7.5
JAC,3.5,7.0,6.6,2.6,-0.5
KC,3.4,7.0,12.9,4.5,-5.0
DET,0.0,9.0,-16.2,-10.8,5.4
BUF,-0.6,8.0,3.5,-11.3,-15.4
NO,-0.9,10.0,-1.3,-4.6,-4.2
SF,-1.0,6.0,18.8,16.0,-3.8
NE,-5.6,5.0,-4.4,5.1,3.9
MIN,-6.3,11.0,18.5,26.0,1.2
DAL,-13.4,5.0,-10.9,5.7,3.2
CHI,-13.7,5.0,-8.6,3.9,-1.2
SEA,-14.3,6.0,-4.7,18.1,8.5
CAR,-17.6,7.0,-17.6,3.4,3.4
SD,-23.7,1.0,-26.2,-9.5,-7.0
ATL,-32.5,4.0,-29.6,7.0,4.1
ARI,-38.7,3.0,-19.6,19.3,0.2
CIN,-38.8,4.0,-20.4,11.7,-6.7
CLE,-40.2,3.0,-29.3,9.8,-1.1
PHI,27.3,11.0,2.9,-15.5,8.9
STL,25.9,14.0,20.5,-11.7,-6.4
SF,20.2,12.0,21.0,0.1,-0.7
TB,18.8,9.0,2.9,-15.4,0.5
